id,station,date,prcp,tobs
19230,USC00516128,2016-09-21,1.02,73.0
11879,USC00519523,2016-09-21,0.0,79.0
19231,USC00516128,2016-09-22,0.75,73.0
5121,USC00513117,2016-09-22,0.09,77.0
8843,USC00517948,2016-09-22,0.06,76.0
11880,USC00519523,2016-09-22,0.01,79.0
7354,USC00514830,2016-09-22,0.17,78.0
14638,USC00519281,2016-09-22,0.34,77.0
2394,USC00519397,2016-09-22,0.02,76.0
19232,USC00516128,2016-09-23,0.33,73.0
8844,USC00517948,2016-09-23,0.0,80.0
14639,USC00519281,2016-09-23,0.94,78.0
7355,USC00514830,2016-09-23,0.15,81.0
11881,USC00519523,2016-09-23,0.0,80.0
5122,USC00513117,2016-09-23,0.15,76.0
2395,USC00519397,2016-09-23,0.0,82.0
5123,USC00513117,2016-09-24,0.0,79.0
19233,USC00516128,2016-09-24,0.27,77.0
11882,USC00519523,2016-09-24,0.0,83.0
2396,USC00519397,2016-09-24,0.0,81.0
7356,USC00514830,2016-09-24,0.0,82.0
14640,USC00519281,2016-09-24,0.01,79.0
2397,USC00519397,2016-09-25,0.0,78.0
5124,USC00513117,2016-09-25,0.02,77.0
14641,USC00519281,2016-09-25,0.03,79.0
7357,USC00514830,2016-09-25,0.0,82.0
11883,USC00519523,2016-09-25,0.0,82.0
19234,USC00516128,2016-09-25,0.04,76.0
7358,USC00514830,2016-09-26,0.02,80.0
14642,USC00519281,2016-09-26,0.17,77.0
19235,USC00516128,2016-09-26,1.02,74.0
5125,USC00513117,2016-09-26,0.06,77.0
11884,USC00519523,2016-09-26,0.34,78.0
2398,USC00519397,2016-09-26,0.06,80.0
8845,USC00517948,2016-09-26,,78.0
5126,USC00513117,2016-09-27,0.12,77.0
11885,USC00519523,2016-09-27,0.05,78.0
7359,USC00514830,2016-09-27,0.0,79.0
19236,USC00516128,2016-09-27,1.0,74.0
14643,USC00519281,2016-09-27,0.17,80.0
2399,USC00519397,2016-09-27,0.02,80.0
11886,USC00519523,2016-09-28,0.0,78.0
2400,USC00519397,2016-09-28,0.0,79.0
8846,USC00517948,2016-09-28,0.0,79.0
19237,USC00516128,2016-09-28,0.05,77.0
5127,USC00513117,2016-09-28,0.08,77.0
14644,USC00519281,2016-09-28,0.0,78.0
7360,USC00514830,2016-09-28,0.0,80.0
7361,USC00514830,2016-09-29,0.2,79.0
2401,USC00519397,2016-09-29,0.0,80.0
8847,USC00517948,2016-09-29,0.04,80.0
14645,USC00519281,2016-09-29,0.59,78.0
5128,USC00513117,2016-09-29,0.49,76.0
19238,USC00516128,2016-09-29,1.49,77.0
11887,USC00519523,2016-09-29,0.18,82.0
14646,USC00519281,2016-09-30,0.25,78.0
5129,USC00513117,2016-09-30,0.31,77.0
8848,USC00517948,2016-09-30,,80.0
19239,USC00516128,2016-09-30,0.38,73.0
2402,USC00519397,2016-09-30,0.0,80.0
7362,USC00514830,2016-09-30,0.06,80.0
11888,USC00519523,2016-09-30,0.15,78.0
2403,USC00519397,2016-10-01,0.0,80.0
5130,USC00513117,2016-10-01,0.14,75.0
7363,USC00514830,2016-10-01,0.08,80.0
14647,USC00519281,2016-10-01,0.14,77.0
11889,USC00519523,2016-10-01,0.07,79.0
19240,USC00516128,2016-10-01,1.02,74.0
19241,USC00516128,2016-10-02,0.61,73.0
11890,USC00519523,2016-10-02,0.0,81.0
5131,USC00513117,2016-10-02,0.02,77.0
7364,USC00514830,2016-10-02,0.03,80.0
14648,USC00519281,2016-10-02,0.06,79.0
2404,USC00519397,2016-10-02,0.0,79.0
7365,USC00514830,2016-10-03,0.03,80.0
19242,USC00516128,2016-10-03,0.46,76.0
11891,USC00519523,2016-10-03,0.0,79.0
8849,USC00517948,2016-10-03,,79.0
5132,USC00513117,2016-10-03,0.04,78.0
14649,USC00519281,2016-10-03,0.16,79.0
2405,USC00519397,2016-10-03,0.0,79.0
19243,USC00516128,2016-10-04,3.46,74.0
11892,USC00519523,2016-10-04,0.0,80.0
8850,USC00517948,2016-10-04,,77.0
14650,USC00519281,2016-10-04,0.03,79.0
7366,USC00514830,2016-10-04,0.0,81.0
5133,USC00513117,2016-10-04,0.0,78.0
2406,USC00519397,2016-10-04,0.0,79.0
19244,USC00516128,2016-10-05,0.81,75.0
5134,USC00513117,2016-10-05,0.0,77.0
14651,USC00519281,2016-10-05,0.01,79.0
7367,USC00514830,2016-10-05,0.0,80.0
11893,USC00519523,2016-10-05,0.0,80.0
8851,USC00517948,2016-10-05,,80.0
2407,USC00519397,2016-10-05,0.0,80.0
7368,USC00514830,2016-10-06,0.0,80.0
11894,USC00519523,2016-10-06,0.0,80.0
19245,USC00516128,2016-10-06,0.04,75.0
8852,USC00517948,2016-10-06,0.07,79.0
14652,USC00519281,2016-10-06,0.0,75.0
5135,USC00513117,2016-10-06,0.05,76.0
2408,USC00519397,2016-10-06,0.0,80.0
11895,USC00519523,2016-10-07,0.0,79.0
8853,USC00517948,2016-10-07,,78.0
14653,USC00519281,2016-10-07,0.0,76.0
5136,USC00513117,2016-10-07,0.0,78.0
19246,USC00516128,2016-10-07,0.01,73.0
2409,USC00519397,2016-10-07,0.0,79.0
7369,USC00514830,2016-10-07,0.0,79.0
19247,USC00516128,2016-10-08,0.04,74.0
14654,USC00519281,2016-10-08,0.0,73.0
11896,USC00519523,2016-10-08,0.0,82.0
5137,USC00513117,2016-10-08,0.0,76.0
2410,USC00519397,2016-10-08,0.0,78.0
19248,USC00516128,2016-10-09,0.0,77.0
14655,USC00519281,2016-10-09,0.0,72.0
11897,USC00519523,2016-10-09,0.0,80.0
2411,USC00519397,2016-10-09,0.0,76.0
5138,USC00513117,2016-10-09,0.0,77.0
5139,USC00513117,2016-10-10,0.0,75.0
11898,USC00519523,2016-10-10,0.0,78.0
2412,USC00519397,2016-10-10,0.0,75.0
14656,USC00519281,2016-10-10,0.0,71.0
19249,USC00516128,2016-10-10,0.0,74.0
7370,USC00514830,2016-10-10,,77.0
2413,USC00519397,2016-10-11,0.0,80.0
7371,USC00514830,2016-10-11,0.04,80.0
14657,USC00519281,2016-10-11,0.28,77.0
5140,USC00513117,2016-10-11,0.02,77.0
11899,USC00519523,2016-10-11,0.0,81.0
19250,USC00516128,2016-10-11,0.35,74.0
8854,USC00517948,2016-10-11,,79.0
5141,USC00513117,2016-10-12,0.03,75.0
2414,USC00519397,2016-10-12,0.0,80.0
19251,USC00516128,2016-10-12,0.02,78.0
11900,USC00519523,2016-10-12,0.0,81.0
14658,USC00519281,2016-10-12,0.03,79.0
7372,USC00514830,2016-10-12,0.0,80.0
2415,USC00519397,2016-10-13,0.0,79.0
19252,USC00516128,2016-10-13,0.06,75.0
14659,USC00519281,2016-10-13,0.0,78.0
8855,USC00517948,2016-10-13,,80.0
7373,USC00514830,2016-10-13,0.02,81.0
11901,USC00519523,2016-10-13,0.0,79.0
5142,USC00513117,2016-10-13,0.0,78.0
14660,USC00519281,2016-10-14,0.0,79.0
11902,USC00519523,2016-10-14,0.0,80.0
7374,USC00514830,2016-10-14,0.0,79.0
19253,USC00516128,2016-10-14,0.0,73.0
2416,USC00519397,2016-10-14,0.0,80.0
5143,USC00513117,2016-10-14,0.0,77.0
5144,USC00513117,2016-10-15,0.0,76.0
7375,USC00514830,2016-10-15,0.02,81.0
2417,USC00519397,2016-10-15,0.0,79.0
19254,USC00516128,2016-10-15,0.33,74.0
14661,USC00519281,2016-10-15,0.04,77.0
11903,USC00519523,2016-10-15,0.0,79.0
19255,USC00516128,2016-10-16,0.0,77.0
14662,USC00519281,2016-10-16,0.0,79.0
5145,USC00513117,2016-10-16,0.0,75.0
11904,USC00519523,2016-10-16,0.0,81.0
2418,USC00519397,2016-10-16,0.0,78.0
8856,USC00517948,2016-10-17,,80.0
14663,USC00519281,2016-10-17,0.01,77.0
2419,USC00519397,2016-10-17,0.01,78.0
7376,USC00514830,2016-10-17,,78.0
11905,USC00519523,2016-10-17,0.12,80.0
5146,USC00513117,2016-10-17,0.03,77.0
19256,USC00516128,2016-10-17,0.38,70.0
